codigo_area;nome_area;codigo_ocde;nome_grau;grau_academico;observacao
1;Educação;0111C012;Ciência da educação - Bacharelado;Bacharelado;
1;Educação;0111C014;Ciência da educação - Sequencial;Sequencial;
1;Educação;0111P013;Processos escolares - Tecnológico;Tecnológico;
1;Educação;0111P022;Psicopedagogia - Bacharelado;Bacharelado;
1;Educação;0111P024;Psicopedagogia - Sequencial;Sequencial;
1;Educação;0112E011;Educação infantil formação de professor - Licenciatura;Licenciatura;
1;Educação;0113E011;Educação do campo formação de professor - Licenciatura;Licenciatura;
1;Educação;0113E021;Educação especial formação de professor - Licenciatura;Licenciatura;
1;Educação;0113E031;Educação indígena formação de professor - Licenciatura;Licenciatura;
1;Educação;0113F011;Formação pedagógica de professor para a educação básica - Licenciatura;Licenciatura;
1;Educação;0113F014;Formação pedagógica de professor para a educação básica - Sequencial;Sequencial;
1;Educação;0113P011;Pedagogia - Licenciatura;Licenciatura;
1;Educação;0113P012;Pedagogia - Bacharelado;Bacharelado;
1;Educação;0113P014;Pedagogia - Sequencial;Sequencial;
1;Educação;0114A011;Artes formação de professor - Licenciatura;Licenciatura;
1;Educação;0114A014;Artes formação de professor - Sequencial;Sequencial;
1;Educação;0114A021;Artes visuais formação de professor - Licenciatura;Licenciatura;
1;Educação;0114B011;Biologia formação de professor - Licenciatura;Licenciatura;
1;Educação;0114C011;Ciências agrárias formação de professor - Licenciatura;Licenciatura;
1;Educação;0114C021;Ciências naturais formação de professor - Licenciatura;Licenciatura;
1;Educação;0114C031;Ciências sociais formação de professor - Licenciatura;Licenciatura;
1;Educação;0114C041;Cinema e audiovisual formação de professor - Licenciatura;Licenciatura;
1;Educação;0114C051;Computação formação de professor - Licenciatura;Licenciatura;
1;Educação;0114D011;Dança formação de professor - Licenciatura;Licenciatura;
1;Educação;0114E011;Economia doméstica formação de professor - Licenciatura;Licenciatura;
1;Educação;0114E021;Educação do campo em áreas de conhecimento da educação básica formação de professor - Licenciatura;Licenciatura;
1;Educação;0114E031;Educação física formação de professor - Licenciatura;Licenciatura;
1;Educação;0114E041;Educação indígena em áreas de conhecimento da educação básica formação de professor - Licenciatura;Licenciatura;
1;Educação;0114E051;Enfermagem formação de professor - Licenciatura;Licenciatura;
1;Educação;0114E061;Ensino profissionalizante em área específica formação de professor - Licenciatura;Licenciatura;
1;Educação;0114E071;Ensino religioso formação de professor - Licenciatura;Licenciatura;
1;Educação;0114E081;Estatística formação de professor - Licenciatura;Licenciatura;
1;Educação;0114F011;Filosofia formação de professor - Licenciatura;Licenciatura;
1;Educação;0114F021;Física formação de professor - Licenciatura;Licenciatura;
1;Educação;0114G011;Geografia formação de professor - Licenciatura;Licenciatura;
1;Educação;0114H011;História formação de professor - Licenciatura;Licenciatura;
