Link,Tipo,Nome do Evento,Escola,Área,Duração
https://unisinos.br/lab/cursos/gestao-de-compras-ex122181-00031-1505,Cursos de Extensão,Gestão de Compras,Gestão e Negócios,Não especificada,24 horas
https://unisinos.br/lab/cursos/a-escola-contemporanea-como-um-tempo-espaco-de-conversacao-com-o-passado-o-presente-e-o-futuro-ex125343-00001-1505,Cursos de Extensão,"A Escola Contemporânea como um Tempo-Espaço de Conversação com o Passado, o Presente e o Futuro",Escola,Humanidades,42 horas
https://unisinos.br/lab/cursos/excel-dashboards-excel-vba-ex124788-00008-1505,Cursos de Extensão,Excel DASHBOARDS + Excel VBA,Politécnica,Não especificada,16 horas
https://unisinos.br/lab/cursos/implementacao-curricular-da-graduacao-2024-1-a-sala-de-aula-expandida-ex921239-00001-1505,Cursos de Extensão,Implementação Curricular da Graduação 2024/1 – A Sala de Aula Expandida ,Escola,Humanidades,16h30 minutos
https://unisinos.br/lab/cursos/current-events-ex125146-00002-1505,Cursos de Extensão,Current events,Escola,Indústria Criativa,13h30 minutos
https://unisinos.br/lab/cursos/lab-empreendedor-programa-de-desenvolvimento-de-ideias-e-de-projetos-com-a-finalidade-de-estimular-sua-transformacao-em-negocios-reais-15a-edicao-2024-1-ex125334-00001-1505,Cursos de Extensão,Lab Empreendedor - Programa de desenvolvimento de ideias e de projetos com a finalidade de estimular sua transformação em negócios reais. (15a Edição 2024-1),Gestão e Negócios,Não especificada,34 horas
https://unisinos.br/lab/cursos/educacao-bilingue-e-curriculo-integrado-unisinos-moodle-ex921231-00001-1505,Cursos de Extensão,Educação Bilíngue e Currículo Integrado - UNISINOS MOODLE,Indústria Criativa,Não especificada,120 horas
https://unisinos.br/lab/cursos/preparacao-para-entrevista-de-emprego-ex920102-00002-1505,Cursos de Extensão,Preparação para Entrevista de Emprego,Escola,Gestão e Negócios,1h30 minutos
https://unisinos.br/lab/cursos/elaboracao-de-curriculo-ex921206-00002-1505,Cursos de Extensão,Elaboração de Currículo,Escola,Gestão e Negócios,1h30 minutos
https://unisinos.br/lab/cursos/inteligencia-artificial-sem-medo-na-sua-empresa-ex125325-00001-1505,Cursos de Extensão,Inteligência Artificial sem Medo na sua Empresa,Escola,Gestão e Negócios,20 horas
https://unisinos.br/lab/cursos/introducao-a-jurimetria-inteligencia-artificial-aplicada-ao-direito-ex125120-00005-1505,Cursos de Extensão,Introdução à Jurimetria: Inteligência Artificial Aplicada ao Direito,Direito,Não especificada,8 horas
https://unisinos.br/lab/cursos/formacao-em-instrutor-de-transito-ex121699-00015-1505,Cursos de Extensão,Formação em Instrutor de Trânsito,Humanidades,Não especificada,180 horas
https://unisinos.br/lab/cursos/business-partner-em-rh-um-agente-de-transformacao-ex124794-00005-1505,Cursos de Extensão,Business Partner em RH –  Um Agente de Transformação!,Gestão e Negócios,Não especificada,16 horas
